"HDR","FEC","8.1","Vocus PAC Management","8.00.5825","FEC-979884","1",""
"F3XA","C00053553","National Rifle Association of America Political Victory Fund","","11250 Waples Mill Road","","Fairfax","VA","22030","30G","G2014","20141104","","20141016","20141124","X","Adkins","Mary Rose","","","","20150129","7162807.68","495314.48","7658122.16","5319665.06","2338457.10","0.00","0.00","110506.41","384608.49","495114.90","0.00","0.00","495114.90","0.00","0.00","0.00","199.50","0.00","0.08","0.00","0.00","0.00","495314.48","495314.48","0.00","0.00","6938.10","6938.10","0.00","8000.00","2613772.11","0.00","0.00","0.00","1000.00","0.00","0.00","1000.00","2689954.85","0.00","0.00","0.00","0.00","5319665.06","5319665.06","495114.90","1000.00","494114.90","6938.10","199.50","6738.60","11623822.00","2014","9970316.60","21594138.60","19255681.50","2338457.10","1321820.95","8639086.10","9960907.05","0.00","5000.00","9965907.05","0.00","0.00","0.00","819.50","1000.00","2590.05","0.00","0.00","0.00","9970316.60","9970316.60","0.00","0.00","184146.86","184146.86","0.00","633950.00","14335571.58","0.00","0.00","0.00","2500.00","0.00","0.00","2500.00","4099513.06","0.00","0.00","0.00","0.00","19255681.50","19255681.50","9965907.05","2500.00","9963407.05","184146.86","819.50","183327.36"
"SA17","C00053553","63110923","","","ORG","BB&T Bank","","","","","","11230 Waples Mill Road","","Fairfax","VA","22030","","","20141031","0.08","0.79","","","","","","","","","","","","","","","","","","","","","","Interest Income",""
"SA11ai","C00053553","63110924","","","IND","","SHIELLS","JAMES","","MR","","1401 CLEARVIEW RD","","EDGEWOOD","MD","210401001","","","20141017","-425.25","229.25","","","","","","","","","","","","","","","","","","","","","","Posting Error - Ck 21 Processing",""
"SA11ai","C00053553","63111264","","","IND","","TROLLINGER","LARRY L","","MR","","6181 GROVEDALE CT","","ALEXANDRIA","VA","223102553","","","20141016","250.00","450.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111281","","","IND","","PEARSON","JOHN D","","MR","","PO BOX 683","","WATERSMEET","MI","499690683","","","20141016","1000.00","1350.00","","BRUCE OFFRET","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111283","","","IND","","RILEY","DANIEL W","","MR","","33 GREENVALE RD","","CHERRY HILL","NJ","080341703","","","20141016","25.00","300.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111312","","","IND","","RICHAU","ARLY","","","","12401 N 68TH PL","","SCOTTSDALE","AZ","852545303","","","20141016","100.00","800.00","","SELF EMPLOYED","ATTORNEY","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111314","","","IND","","WALLACE","WILLIAM T","","MR","JR","PO BOX 134","","QUARTZSITE","AZ","853460134","","","20141016","100.00","1205.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111318","","","IND","","BOSWELL","KEN","","MR","","5804 WOODVIEW AVE","","AUSTIN","TX","787561030","","","20141016","200.00","600.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111324","","","IND","","BOGART","MICHAEL J","","MR","","710 NW KLICKITAT ST","","CAMAS","WA","986079014","","","20141016","25.00","225.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111337","","","IND","","MITCHELL","BARRY F","","MR","","229 NW 93 LANE","","BRANFORD","FL","320087234","","","20141017","26.25","252.25","","DRAVEN-THOMPSON & ASSOC","LAND SURVEYOR","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111344","","","IND","","BLANKENSHIP","NEAL A","","MR","","2763 LEAR RD","","COLUMBUS","OH","432204546","","","20141017","100.00","400.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111349","","","IND","","SHUGER","STEPHEN","","MR","","2320 TAYLOR AVE","","WILTON","IA","527789203","","","20141017","26.25","215.25","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111362","","","IND","","MOORE","GARY","","MR","","477 FALL CREEK RD","","MAYNARDVILLE","TN","378074739","","","20141017","24.00","203.25","","GARY MOORE CONCRETE","CONCRETE FINISHER","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111372","","","IND","","Espinoza","ANTHONY J","","MR","","PO BOX 1415","","LA MIRADA","CA","906371415","","","20141017","400.00","1000.00","","CA Construction Management, Inc.","President","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111378","","","IND","","DRIVER","MICHAEL","","MR","","13631 CANAL DR","","PENSACOLA","FL","325078896","","","20141017","100.00","500.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111385","","","IND","","OLIVER","LAWRENCE E","","MR","","2630 GOLDEN RD","","TYLER","TX","757016327","","","20141021","100.00","300.00","","US ARMY","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111409","","","IND","","MAXEY","WAYNE","","","","4644 GNEKOW DR","","STOCKTON","CA","952121307","","","20141021","50.00","236.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111429","","","IND","","SIESENER","CHARLES","","MR","","8425 LATTY AVE","","HAZELWOOD","MO","630423240","","","20141022","47.25","704.25","","BOEING","MATERIAL HANDLER","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111437","","","IND","","Hughes","RICHARD J","","MR","","2201 CRESTWOOD DR","","SIERRA VISTA","AZ","856355033","","","20141022","50.00","375.00","","Retired","Retired","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111442","","","IND","","STEWART","CHRISTOPH M","","MR","","1146 LAKEVIEW DR","","SCHERERVILLE","IN","463751507","","","20141022","100.00","300.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111444","","","IND","","DERR","FRANK N","","DR","","4285 GARDNER RD","","METAMORA","MI","484559782","","","20141022","2500.00","2500.00","","SELF EMPLOYED","Doctor (M.D.)","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111447","","","IND","","RUCKER","DEAL G","","MR","","1709 NE 67TH PL","","GLADSTONE","MO","641183624","","","20141022","135.00","255.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111456","","","IND","","KENNEDY","GERALD F","","MR","","18301 NE 184TH ST","","BRUSH PRAIRIE","WA","986068609","","","20141022","100.00","400.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111471","","","IND","","ROHR","KENNETH R","","MR","","PO BOX 282","","CHEBANSE","IL","609220282","","","20141022","56.00","287.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111503","","","IND","","Cook","KENNETH W","","","","4885 EVERGLADES RD","","COLLINSTON","LA","712299062","","","20141022","48.00","576.00","","Retired","Retired","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111507","","","IND","","TURNBOW","ROBERT L","","MR","","3928 PARKHILL RD","","SANTA MARGARITA","CA","934539647","","","20141022","64.75","316.75","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111510","","","IND","","FITZGERALD","DONALD F","","MR","","PO BOX 75","","THURMONT","MD","217880075","","","20141022","50.00","521.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111512","","","IND","","JOY BOLLOCK","BEATRICE","","MRS","","25333 405TH AVE","","MITCHELL","SD","573015413","","","20141022","24.00","203.50","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111513","","","IND","","MARTIN","JAMES","","MR","","1000 POTATO ROLL LN","","CHAMBERSBURG","PA","172028897","","","20141022","1000.00","2000.00","","MARTIN'S FAMOUS PASTRY SHOPPE","PRESIDENT","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111517","","","IND","","COX","CHRIS W","","","","PO BOX 7045","","ALEXANDRIA","VA","223070045","","","20141023","200.00","2200.00","","NATIONAL RIFLE ASSOCIATION","EXECUTIVE DIRECTOR","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111527","","","IND","","DUCHARME","PAUL E","","MR","","224 IROQUOIS AVE","","GREEN BAY","WI","543011970","","","20141023","100.00","600.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111536","","","IND","","HOLT","VIRGIL","","MR","","567 COUNTY ROAD 323","","FRANKLIN","MO","652509693","","","20141023","25.00","294.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111550","","","IND","","KEEN","ROBERT E","E","MR","","PO BOX 176","","CHASSELL","MI","499160176","","","20141023","45.00","260.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111561","","","IND","","STONE","JACK W","","MR","","5134 MONTPELIER CT","","COLUMBUS","IN","472033379","","","20141023","50.00","377.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111565","","","IND","","BALTUSIS","MATTHEW A","","MR","SR","1908 BAUSS ST","","MIDLAND","MI","486424025","","","20141023","100.00","558.50","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","63111569","","","IND","","RAINS","CLAIRE L","","MRS","","420 41ST AVE","","SAN FRANCISCO","CA","941211512","","","20141023","48.00","444.00","","","","","","","","","","","","","","","","","","","","","","",""
