"HDR","FEC","8.1","Vocus PAC Management","8.00.5825","FEC-963291","1",""
"F3XA","C00053553","National Rifle Association of America Political Victory Fund","","11250 Waples Mill Road","","Fairfax","VA","22030","M10","","","","20140901","20140930","X","Adkins","Mary Rose","","","","20141204","18469014.51","657483.83","19126498.34","10099868.70","9026629.64","4195617.88","0.00","169325.97","486788.43","656114.40","0.00","0.00","656114.40","0.00","0.00","0.00","0.00","1000.00","369.43","0.00","0.00","0.00","657483.83","657483.83","0.00","0.00","20699.32","20699.32","0.00","207250.00","9070183.38","0.00","0.00","0.00","1000.00","0.00","0.00","1000.00","800736.00","0.00","0.00","0.00","0.00","10099868.70","10099868.70","656114.40","1000.00","655114.40","20699.32","0.00","20699.32","11623822.00","2014","9133715.06","20757537.06","11730907.42","9026629.64","1121646.42","8003123.65","9124770.07","0.00","5000.00","9129770.07","0.00","0.00","0.00","620.00","1000.00","2324.99","0.00","0.00","0.00","9133715.06","9133715.06","0.00","0.00","173903.36","173903.36","0.00","601650.00","9981799.65","0.00","0.00","0.00","1500.00","0.00","0.00","1500.00","972054.41","0.00","0.00","0.00","0.00","11730907.42","11730907.42","9129770.07","1500.00","9128270.07","173903.36","620.00","173283.36"
"SA16","C00053553","62390921","","","CCM","Schock For Congress","","","","","","PO Box 10555","","Peoria","IL","61612","P2014","","20140930","1000.00","1000.00","","","","C00437756","Schock For Congress","H8IL18043","Schock","Aaron","","","","H","IL","18","","","","","","","","",""
"SA11ai","C00053553","62392502","","","IND","","BELL","S J","J","MR","","217 INVERNESS DR","","CHURCH HILL","MD","216231259","","","20140902","52.00","220.00","","MARYLAND AUTO INS FUND","CLAIM SUPERVISOR","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","62392504","","","IND","","CAMPBELL","JOEL","","MR","","12900 RIDGEVIEW DR","","ANCHORAGE","AK","995163106","","","20140902","48.00","202.00","","STATE OF COLORADO","STATE TROOPER","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","62392514","","","IND","","SIECK","ROBERT E","","MR","III","PO BOX 219","","BLUFF CITY","TN","376180219","","","20140903","40.00","205.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","62392515","","","IND","","MCNEILL","D D","","","","PO BOX 430","","LENOIR","NC","286450430","","","20140903","50.00","250.00","","SELF EMPLOYED","PATHOLOGIST","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","62392525","","","IND","","WALTERS","WILLIAM P","","MSGT","","4624 SW ILLINOIS ST","","PORTLAND","OR","972212850","","","20140903","100.00","271.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","62392526","","","IND","","KISER","STEPHEN M","","MR","","PO BOX 261","","LONGVIEW","WA","986327161","","","20140903","38.00","260.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","62392530","","","IND","","GRUBB","DAVID","","MR","","15824 VALLEY VIEW RD","","DOYLESTOWN","OH","442301600","","","20140903","100.00","250.00","","DAILY RECORD","DELIVERY","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","62392539","","","IND","","BOTHWELL","DAVID G","","MR","","3061 JONATHON CT","","BILLINGS","MT","591026587","","","20140903","100.00","300.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","62392564","","","IND","","MURPHY","PATRICK","","MR","","634 ADAMS PL","","WEST HEMPSTEAD","NY","115523210","","","20140903","50.00","350.00","","McCABE, COLLINS, McGEOUGH & FO","ATTORNEY","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","62392569","","","IND","","LOOMIS","DAVID","","MR","","4811 IMPALA PARK","","SAN ANTONIO","TX","782514328","","","20140903","50.00","400.00","","SOURCE CODE TECHNOLOGY HOLDINGS","CONSULTANT","","","","","","","","","","","","","","","","","","","",""
