"HDR","FEC","8.0","Vocus PAC Management","8.00.5825","FEC-840289","2",""
"F3XA","C00053553","National Rifle Association of America Political Victory Fund","","11250 Waples Mill Road","","Fairfax","VA","22030","30G","G2012","20121206","","20121018","20121126","X","Adkins","Mary Rose","","","","20130329","6061543.43","455705.25","6517248.68","5143858.25","1373390.43","0.00","0.00","154731.18","300748.45","455479.63","0.00","0.00","455479.63","0.00","0.00","0.00","0.00","0.00","225.62","0.00","0.00","0.00","455705.25","455705.25","0.00","0.00","15847.12","15847.12","0.00","16500.00","5020329.88","0.00","0.00","0.00","200.00","0.00","0.00","200.00","90981.25","0.00","0.00","0.00","0.00","5143858.25","5143858.25","455479.63","200.00","455279.63","15847.12","0.00","15847.12","5232032.74","2012","9272260.07","14504292.81","13130902.38","1373390.43","1252944.65","8017088.63","9270033.28","0.00","0.00","9270033.28","0.00","0.00","0.00","0.00","1500.00","726.79","0.00","0.00","0.00","9272260.07","9272260.07","0.00","0.00","538581.83","538581.83","0.00","757500.00","11152136.01","0.00","0.00","0.00","1800.00","0.00","0.00","1800.00","680884.54","0.00","0.00","0.00","0.00","13130902.38","13130902.38","9270033.28","1800.00","9268233.28","538581.83","0.00","538581.83"
"SA17","C00053553","48697755","","","ORG","BB&T Bank","","","","","","11230 Waples Mill Road","","Fairfax","VA","22030","","","20121031","0.14","2.32","","","","","","","","","","","","","","","","","","","","","","Interest Income",""
"SA17","C00053553","48697756","","","ORG","Wells Fargo Bank, N.A.","","","","","","1300 Chain Bridge Road","","McLean","VA","22101","","","20121031","0.35","497.70","","","","","","","","","","","","","","","","","","","","","","Interest Income",""
"SA17","C00053553","48697757","","","ORG","Bank of the West","","","","","","224 Box Butte Avenue","","Alliance","NE","69301","","","20121031","0.13","1.77","","","","","","","","","","","","","","","","","","","","","","Interest Income",""
"SA11ai","C00053553","48915920","","","IND","","OTTENBREIT","GERALD E","","MR","","15594 SUSAN ST","","SOUTHGATE","MI","481952917","","","20121019","50.00","227.00","","US STEEL - GREAT LAKE WORKS","N/A","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915932","","","IND","","UNDERWOOD","BILL","","MR","","7820 W FARM ROAD 168","","REPUBLIC","MO","657389331","","","20121023","45.00","235.50","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915935","","","IND","","NAGELE","GLENN L","","","","750 FLAIR DR","","SLIDELL","LA","704616004","","","20121019","20.00","271.50","","Retired","Millwright","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915944","","","IND","","MELSON","CHARLES A","","MR","JR","632 SANDY HOOK DR","","PASS CHRISTIAN","MS","395712030","","","20121019","20.00","220.00","","","retired","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915957","","","IND","","GOODE","OSCAR N","","MR","JR","512 WILLOW BRANCH RD","","NORMAN","OK","730724513","","","20121019","100.00","243.00","","SELF EMPLOYED","OIL & GAS CONSULTANT","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915960","","","IND","","DUGAL","JAMES S","","DR","","940 TENSAS DR","","OPELOUSAS","LA","705708220","","","20121018","200.00","500.00","","","Radiologist","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915962","","","IND","","YOUNG","GERALD D","","MR","JR","25399 N BARSUMIAN DR","","TOWER LAKES","IL","600101120","","","20121023","200.00","645.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915969","","","IND","","HELLER","CARLETON W","","MR","","PO BOX 940493","","PLANO","TX","750940493","","","20121018","25.00","300.00","","C.W. HELLER, INC","OWNER / CAR SALES","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915970","","","IND","","BRUNSON","TED J","","MR","","14 HEARTHWICK RD","","TOMBALL","TX","773754965","","","20121022","32.00","319.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915971","","","IND","","COPLEN","ARCHIE L","","MR","","5890 DEL PAZ DR","","COLORADO SPRINGS","CO","809181767","","","20121023","32.00","343.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915972","","","IND","","ROHRBAUGH","DAVID","","MR","","988 COUNTY ROAD 4346","","BIVINS","TX","755554058","","","20121018","20.00","282.00","","","engineer","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915976","","","IND","","TAYLOR","ROBERT W","","MR","","1010 FOSTER ST","","RAYVILLE","LA","712693215","","","20121019","32.00","229.00","","US AIR FORCE","RETIRED - PILOT","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48915994","","","IND","","WRIGHT","JAMES G","","MR","","4765 S STANSIFER LN","","BLOOMINGTON","IN","474039793","","","20121019","100.00","450.00","","","RETIRED - TEACHER","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916004","","","IND","","LEVY","PAUL","","MR","","5508 S FRANKLIN AVE","","SPRINGFIELD","MO","658102554","","","20121031","25.00","204.00","","MERCY HOSPITAL","REGISTERED NURSE","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916005","","","IND","","SIME","DONALD","","MR","","2231 ROSELAWN AVE W","","ROSEVILLE","MN","551135347","","","20121029","100.00","500.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916013","","","IND","","ELOWSON","STEN G","G","MR","","108 LEXINGTON AVE","","MALVERNE","NY","115652335","","","20121019","35.00","241.00","","BKLYN UNION GAS CO","SERVICEMAN","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916014","","","IND","","HUNTER","W","","MR","","157 NEW BOSTON RD","","BEDFORD","NH","031105205","","","20121018","100.00","300.00","","","RET","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916015","","","IND","","SCHULTZ","HARTMUT P","","MR","","PO BOX 777","","NEW MILFORD","CT","067760777","","","20121024","100.00","510.30","","RETIRED","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916036","","","IND","","BOHANNON","MIKE J","","MR","","PO BOX 665","","CROSSVILLE","TN","385570665","","","20121019","100.00","256.00","","BILBREY FUNERAL HOME","OFFICE & MAINTENANCE","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916037","","","IND","","DUNN","SCOTT","","MR","","PO BOX 41","","KANAB","UT","847410041","","","20121019","32.00","224.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916054","","","IND","","SCARBOROUGH","DENNIS","","MR","","5309 BRAURCREST CIR","","TEMPLE","TX","765028813","","","20121024","32.00","331.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916058","","","IND","","HOLLEY","PERRY","","","","7548 STILLWELL PL","","SOUTHAVEN","MS","386716020","","","20121026","50.00","527.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916059","","","IND","","HOLLEY","PERRY","","","","7548 STILLWELL PL","","SOUTHAVEN","MS","386716020","","","20121024","50.00","477.00","","","RETIRED","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916066","","","IND","","STRAFFORD","STEVEN","","MR","","1330 MARSH AVE","","DELPHOS","OH","458331362","","","20121018","75.00","326.00","","DURATECH INDUSTRIES","SALES MANAGER","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916071","","","IND","","FABIAN","JOSEPH R","","MR","","307 1ST AVE N","","LEWISTOWN","MT","594571727","","","20121024","32.00","211.00","","","","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916080","","","IND","","MITCHELL","H D","D","MR","","PO BOX 1472","","RIDGECREST","CA","935561472","","","20121019","24.00","317.50","","","LETTER CARRIER","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916081","","","IND","","MITCHELL","H D","D","MR","","PO BOX 1472","","RIDGECREST","CA","935561472","","","20121026","32.00","349.50","","","LETTER CARRIER","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916083","","","IND","","RIEHL","EPHRAIM","","MR","JR","5232 OLD PHILADELPHIA PIKE","","KINZERS","PA","175359737","","","20121024","100.00","300.00","","ANCHORWOOD CONSTRUCTION","CONSTRUCTION / CARPENTRY","","","","","","","","","","","","","","","","","","","",""
"SA11ai","C00053553","48916091","","","IND","","COFFIN","WILLIAM H","","MR","III","N96W15418 COUNTY LINE RD","","GERMANTOWN","WI","530225245","","","20121026","32.00","406.50","","AMERICAN STATE EQUIPTMENT CO","MECHANIC","","","","","","","","","","","","","","","","","","","",""
